# devnet-10: DigitalOcean droplet / terraform state name -> ansible inventory name.
# The left column is what the DO console and `terraform state list` show.
# Regenerated by scripts/gen-devnet10-inventory.py.
buildoor-lighthouse-geth-1	buildoor-prysm-geth-1
lighthouse-erigon-4	prysm-erigon-9
lighthouse-erigon-5	prysm-erigon-10
lighthouse-erigon-6	prysm-erigon-11
lighthouse-erigon-7	prysm-erigon-12
lighthouse-erigon-8	prysm-erigon-13
lighthouse-erigon-9	prysm-erigon-14
lighthouse-ethrex-1	prysm-ethrex-1
lighthouse-ethrex-2	prysm-ethrex-2
lighthouse-ethrex-3	prysm-ethrex-5
lighthouse-ethrex-4	prysm-ethrex-6
lighthouse-ethrex-5	prysm-ethrex-7
lighthouse-ethrex-6	prysm-ethrex-8
lighthouse-ethrex-7	prysm-ethrex-9
lighthouse-ethrex-8	prysm-ethrex-10
lighthouse-ethrex-9	prysm-ethrex-11
lighthouse-geth-1	prysm-geth-1
lighthouse-geth-10	prysm-geth-10
lighthouse-geth-100	prysm-geth-147
lighthouse-geth-101	prysm-geth-148
lighthouse-geth-102	prysm-geth-149
lighthouse-geth-103	prysm-geth-150
lighthouse-geth-104	prysm-geth-151
lighthouse-geth-105	prysm-geth-152
lighthouse-geth-106	prysm-geth-153
lighthouse-geth-107	prysm-geth-154
lighthouse-geth-108	prysm-geth-155
lighthouse-geth-109	prysm-geth-156
lighthouse-geth-11	prysm-geth-11
lighthouse-geth-110	prysm-geth-157
lighthouse-geth-111	prysm-geth-158
lighthouse-geth-112	prysm-geth-159
lighthouse-geth-113	prysm-geth-160
lighthouse-geth-114	prysm-geth-161
lighthouse-geth-115	prysm-geth-162
lighthouse-geth-116	prysm-geth-163
lighthouse-geth-117	prysm-geth-164
lighthouse-geth-118	prysm-geth-165
lighthouse-geth-119	prysm-geth-166
lighthouse-geth-12	prysm-geth-12
lighthouse-geth-120	prysm-geth-167
lighthouse-geth-121	prysm-geth-168
lighthouse-geth-122	prysm-geth-169
lighthouse-geth-123	prysm-geth-170
lighthouse-geth-124	prysm-geth-171
lighthouse-geth-125	prysm-geth-172
lighthouse-geth-126	prysm-geth-173
lighthouse-geth-127	prysm-geth-174
lighthouse-geth-128	prysm-geth-175
lighthouse-geth-129	prysm-geth-176
lighthouse-geth-13	prysm-geth-13
lighthouse-geth-130	prysm-geth-177
lighthouse-geth-131	prysm-geth-178
lighthouse-geth-132	prysm-geth-179
lighthouse-geth-133	prysm-geth-180
lighthouse-geth-134	prysm-geth-181
lighthouse-geth-135	prysm-geth-182
lighthouse-geth-136	prysm-geth-183
lighthouse-geth-137	prysm-geth-184
lighthouse-geth-138	prysm-geth-185
lighthouse-geth-139	prysm-geth-186
lighthouse-geth-14	prysm-geth-14
lighthouse-geth-140	prysm-geth-187
lighthouse-geth-141	prysm-geth-188
lighthouse-geth-142	prysm-geth-189
lighthouse-geth-143	prysm-geth-190
lighthouse-geth-144	prysm-geth-191
lighthouse-geth-145	prysm-geth-192
lighthouse-geth-146	prysm-geth-193
lighthouse-geth-147	prysm-geth-194
lighthouse-geth-148	prysm-geth-195
lighthouse-geth-149	prysm-geth-196
lighthouse-geth-15	prysm-geth-15
lighthouse-geth-150	prysm-geth-197
lighthouse-geth-151	prysm-geth-198
lighthouse-geth-152	prysm-geth-199
lighthouse-geth-153	prysm-geth-200
lighthouse-geth-154	prysm-geth-201
lighthouse-geth-155	prysm-geth-202
lighthouse-geth-156	prysm-geth-203
lighthouse-geth-157	prysm-geth-204
lighthouse-geth-158	prysm-geth-205
lighthouse-geth-159	prysm-geth-206
lighthouse-geth-16	prysm-geth-16
lighthouse-geth-160	prysm-geth-207
lighthouse-geth-161	prysm-geth-208
lighthouse-geth-162	prysm-geth-209
lighthouse-geth-163	prysm-geth-210
lighthouse-geth-164	prysm-geth-211
lighthouse-geth-165	prysm-geth-212
lighthouse-geth-166	prysm-geth-213
lighthouse-geth-167	prysm-geth-214
lighthouse-geth-168	prysm-geth-215
lighthouse-geth-169	prysm-geth-216
lighthouse-geth-17	prysm-geth-17
lighthouse-geth-170	prysm-geth-217
lighthouse-geth-171	prysm-geth-218
lighthouse-geth-172	prysm-geth-219
lighthouse-geth-173	prysm-geth-220
lighthouse-geth-174	prysm-geth-221
lighthouse-geth-175	prysm-geth-222
lighthouse-geth-176	prysm-geth-223
lighthouse-geth-18	prysm-geth-18
lighthouse-geth-19	prysm-geth-19
lighthouse-geth-2	prysm-geth-2
lighthouse-geth-20	prysm-geth-20
lighthouse-geth-21	prysm-geth-21
lighthouse-geth-22	prysm-geth-22
lighthouse-geth-23	prysm-geth-23
lighthouse-geth-24	prysm-geth-24
lighthouse-geth-25	prysm-geth-25
lighthouse-geth-26	prysm-geth-26
lighthouse-geth-27	prysm-geth-27
lighthouse-geth-28	prysm-geth-28
lighthouse-geth-29	prysm-geth-29
lighthouse-geth-3	prysm-geth-3
lighthouse-geth-30	prysm-geth-30
lighthouse-geth-31	prysm-geth-31
lighthouse-geth-32	prysm-geth-32
lighthouse-geth-33	prysm-geth-33
lighthouse-geth-34	prysm-geth-34
lighthouse-geth-35	prysm-geth-35
lighthouse-geth-36	prysm-geth-83
lighthouse-geth-37	prysm-geth-84
lighthouse-geth-38	prysm-geth-85
lighthouse-geth-39	prysm-geth-86
lighthouse-geth-4	prysm-geth-4
lighthouse-geth-40	prysm-geth-87
lighthouse-geth-41	prysm-geth-88
lighthouse-geth-42	prysm-geth-89
lighthouse-geth-43	prysm-geth-90
lighthouse-geth-44	prysm-geth-91
lighthouse-geth-45	prysm-geth-92
lighthouse-geth-46	prysm-geth-93
lighthouse-geth-47	prysm-geth-94
lighthouse-geth-48	prysm-geth-95
lighthouse-geth-49	prysm-geth-96
lighthouse-geth-5	prysm-geth-5
lighthouse-geth-50	prysm-geth-97
lighthouse-geth-51	prysm-geth-98
lighthouse-geth-52	prysm-geth-99
lighthouse-geth-53	prysm-geth-100
lighthouse-geth-54	prysm-geth-101
lighthouse-geth-55	prysm-geth-102
lighthouse-geth-56	prysm-geth-103
lighthouse-geth-57	prysm-geth-104
lighthouse-geth-58	prysm-geth-105
lighthouse-geth-59	prysm-geth-106
lighthouse-geth-6	prysm-geth-6
lighthouse-geth-60	prysm-geth-107
lighthouse-geth-61	prysm-geth-108
lighthouse-geth-62	prysm-geth-109
lighthouse-geth-63	prysm-geth-110
lighthouse-geth-64	prysm-geth-111
lighthouse-geth-65	prysm-geth-112
lighthouse-geth-66	prysm-geth-113
lighthouse-geth-67	prysm-geth-114
lighthouse-geth-68	prysm-geth-115
lighthouse-geth-69	prysm-geth-116
lighthouse-geth-7	prysm-geth-7
lighthouse-geth-70	prysm-geth-117
lighthouse-geth-71	prysm-geth-118
lighthouse-geth-72	prysm-geth-119
lighthouse-geth-73	prysm-geth-120
lighthouse-geth-74	prysm-geth-121
lighthouse-geth-75	prysm-geth-122
lighthouse-geth-76	prysm-geth-123
lighthouse-geth-77	prysm-geth-124
lighthouse-geth-78	prysm-geth-125
lighthouse-geth-79	prysm-geth-126
lighthouse-geth-8	prysm-geth-8
lighthouse-geth-80	prysm-geth-127
lighthouse-geth-81	prysm-geth-128
lighthouse-geth-82	prysm-geth-129
lighthouse-geth-83	prysm-geth-130
lighthouse-geth-84	prysm-geth-131
lighthouse-geth-85	prysm-geth-132
lighthouse-geth-86	prysm-geth-133
lighthouse-geth-87	prysm-geth-134
lighthouse-geth-88	prysm-geth-135
lighthouse-geth-89	prysm-geth-136
lighthouse-geth-9	prysm-geth-9
lighthouse-geth-90	prysm-geth-137
lighthouse-geth-91	prysm-geth-138
lighthouse-geth-92	prysm-geth-139
lighthouse-geth-93	prysm-geth-140
lighthouse-geth-94	prysm-geth-141
lighthouse-geth-95	prysm-geth-142
lighthouse-geth-96	prysm-geth-143
lighthouse-geth-97	prysm-geth-144
lighthouse-geth-98	prysm-geth-145
lighthouse-geth-99	prysm-geth-146
lighthouse-nethermind-1	prysm-nethermind-1
lighthouse-nethermind-10	prysm-nethermind-10
lighthouse-nethermind-100	prysm-nethermind-134
lighthouse-nethermind-101	prysm-nethermind-135
lighthouse-nethermind-102	prysm-nethermind-136
lighthouse-nethermind-103	prysm-nethermind-137
lighthouse-nethermind-104	prysm-nethermind-138
lighthouse-nethermind-105	prysm-nethermind-139
lighthouse-nethermind-106	prysm-nethermind-140
lighthouse-nethermind-107	prysm-nethermind-141
lighthouse-nethermind-108	prysm-nethermind-142
lighthouse-nethermind-109	prysm-nethermind-143
lighthouse-nethermind-11	prysm-nethermind-11
lighthouse-nethermind-110	prysm-nethermind-144
lighthouse-nethermind-111	prysm-nethermind-145
lighthouse-nethermind-112	prysm-nethermind-146
lighthouse-nethermind-113	prysm-nethermind-147
lighthouse-nethermind-114	prysm-nethermind-148
lighthouse-nethermind-115	prysm-nethermind-149
lighthouse-nethermind-116	prysm-nethermind-150
lighthouse-nethermind-117	prysm-nethermind-151
lighthouse-nethermind-118	prysm-nethermind-152
lighthouse-nethermind-119	prysm-nethermind-153
lighthouse-nethermind-12	prysm-nethermind-12
lighthouse-nethermind-120	prysm-nethermind-154
lighthouse-nethermind-121	prysm-nethermind-155
lighthouse-nethermind-122	prysm-nethermind-156
lighthouse-nethermind-123	prysm-nethermind-157
lighthouse-nethermind-124	prysm-nethermind-158
lighthouse-nethermind-125	prysm-nethermind-159
lighthouse-nethermind-126	prysm-nethermind-160
lighthouse-nethermind-127	prysm-nethermind-161
lighthouse-nethermind-128	prysm-nethermind-162
lighthouse-nethermind-129	prysm-nethermind-163
lighthouse-nethermind-13	prysm-nethermind-13
lighthouse-nethermind-14	prysm-nethermind-14
lighthouse-nethermind-15	prysm-nethermind-15
lighthouse-nethermind-16	prysm-nethermind-16
lighthouse-nethermind-17	prysm-nethermind-17
lighthouse-nethermind-18	prysm-nethermind-18
lighthouse-nethermind-19	prysm-nethermind-19
lighthouse-nethermind-2	prysm-nethermind-2
lighthouse-nethermind-20	prysm-nethermind-20
lighthouse-nethermind-21	prysm-nethermind-21
lighthouse-nethermind-22	prysm-nethermind-22
lighthouse-nethermind-23	prysm-nethermind-23
lighthouse-nethermind-24	prysm-nethermind-24
lighthouse-nethermind-25	prysm-nethermind-25
lighthouse-nethermind-26	prysm-nethermind-26
lighthouse-nethermind-27	prysm-nethermind-61
lighthouse-nethermind-28	prysm-nethermind-62
lighthouse-nethermind-29	prysm-nethermind-63
lighthouse-nethermind-3	prysm-nethermind-3
lighthouse-nethermind-30	prysm-nethermind-64
lighthouse-nethermind-31	prysm-nethermind-65
lighthouse-nethermind-32	prysm-nethermind-66
lighthouse-nethermind-33	prysm-nethermind-67
lighthouse-nethermind-34	prysm-nethermind-68
lighthouse-nethermind-35	prysm-nethermind-69
lighthouse-nethermind-36	prysm-nethermind-70
lighthouse-nethermind-37	prysm-nethermind-71
lighthouse-nethermind-38	prysm-nethermind-72
lighthouse-nethermind-39	prysm-nethermind-73
lighthouse-nethermind-4	prysm-nethermind-4
lighthouse-nethermind-40	prysm-nethermind-74
lighthouse-nethermind-41	prysm-nethermind-75
lighthouse-nethermind-42	prysm-nethermind-76
lighthouse-nethermind-43	prysm-nethermind-77
lighthouse-nethermind-44	prysm-nethermind-78
lighthouse-nethermind-45	prysm-nethermind-79
lighthouse-nethermind-46	prysm-nethermind-80
lighthouse-nethermind-47	prysm-nethermind-81
lighthouse-nethermind-48	prysm-nethermind-82
lighthouse-nethermind-49	prysm-nethermind-83
lighthouse-nethermind-5	prysm-nethermind-5
lighthouse-nethermind-50	prysm-nethermind-84
lighthouse-nethermind-51	prysm-nethermind-85
lighthouse-nethermind-52	prysm-nethermind-86
lighthouse-nethermind-53	prysm-nethermind-87
lighthouse-nethermind-54	prysm-nethermind-88
lighthouse-nethermind-55	prysm-nethermind-89
lighthouse-nethermind-56	prysm-nethermind-90
lighthouse-nethermind-57	prysm-nethermind-91
lighthouse-nethermind-58	prysm-nethermind-92
lighthouse-nethermind-59	prysm-nethermind-93
lighthouse-nethermind-6	prysm-nethermind-6
lighthouse-nethermind-60	prysm-nethermind-94
lighthouse-nethermind-61	prysm-nethermind-95
lighthouse-nethermind-62	prysm-nethermind-96
lighthouse-nethermind-63	prysm-nethermind-97
lighthouse-nethermind-64	prysm-nethermind-98
lighthouse-nethermind-65	prysm-nethermind-99
lighthouse-nethermind-66	prysm-nethermind-100
lighthouse-nethermind-67	prysm-nethermind-101
lighthouse-nethermind-68	prysm-nethermind-102
lighthouse-nethermind-69	prysm-nethermind-103
lighthouse-nethermind-7	prysm-nethermind-7
lighthouse-nethermind-70	prysm-nethermind-104
lighthouse-nethermind-71	prysm-nethermind-105
lighthouse-nethermind-72	prysm-nethermind-106
lighthouse-nethermind-73	prysm-nethermind-107
lighthouse-nethermind-74	prysm-nethermind-108
lighthouse-nethermind-75	prysm-nethermind-109
lighthouse-nethermind-76	prysm-nethermind-110
lighthouse-nethermind-77	prysm-nethermind-111
lighthouse-nethermind-78	prysm-nethermind-112
lighthouse-nethermind-79	prysm-nethermind-113
lighthouse-nethermind-8	prysm-nethermind-8
lighthouse-nethermind-80	prysm-nethermind-114
lighthouse-nethermind-81	prysm-nethermind-115
lighthouse-nethermind-82	prysm-nethermind-116
lighthouse-nethermind-83	prysm-nethermind-117
lighthouse-nethermind-84	prysm-nethermind-118
lighthouse-nethermind-85	prysm-nethermind-119
lighthouse-nethermind-86	prysm-nethermind-120
lighthouse-nethermind-87	prysm-nethermind-121
lighthouse-nethermind-88	prysm-nethermind-122
lighthouse-nethermind-89	prysm-nethermind-123
lighthouse-nethermind-9	prysm-nethermind-9
lighthouse-nethermind-90	prysm-nethermind-124
lighthouse-nethermind-91	prysm-nethermind-125
lighthouse-nethermind-92	prysm-nethermind-126
lighthouse-nethermind-93	prysm-nethermind-127
lighthouse-nethermind-94	prysm-nethermind-128
lighthouse-nethermind-95	prysm-nethermind-129
lighthouse-nethermind-96	prysm-nethermind-130
lighthouse-nethermind-97	prysm-nethermind-131
lighthouse-nethermind-98	prysm-nethermind-132
lighthouse-nethermind-99	prysm-nethermind-133
lighthouse-nimbusel-1	prysm-nimbusel-1
lighthouse-nimbusel-2	prysm-nimbusel-3
lighthouse-nimbusel-3	prysm-nimbusel-4
lighthouse-nimbusel-4	prysm-nimbusel-5
lighthouse-reth-1	prysm-reth-1
lighthouse-reth-10	prysm-reth-10
lighthouse-reth-11	prysm-reth-11
lighthouse-reth-12	prysm-reth-12
lighthouse-reth-13	prysm-reth-29
lighthouse-reth-14	prysm-reth-30
lighthouse-reth-15	prysm-reth-31
lighthouse-reth-16	prysm-reth-32
lighthouse-reth-17	prysm-reth-33
lighthouse-reth-18	prysm-reth-34
lighthouse-reth-19	prysm-reth-35
lighthouse-reth-2	prysm-reth-2
lighthouse-reth-20	prysm-reth-36
lighthouse-reth-21	prysm-reth-37
lighthouse-reth-22	prysm-reth-38
lighthouse-reth-23	prysm-reth-39
lighthouse-reth-24	prysm-reth-40
lighthouse-reth-25	prysm-reth-41
lighthouse-reth-26	prysm-reth-42
lighthouse-reth-27	prysm-reth-43
lighthouse-reth-28	prysm-reth-44
lighthouse-reth-29	prysm-reth-45
lighthouse-reth-3	prysm-reth-3
lighthouse-reth-30	prysm-reth-46
lighthouse-reth-31	prysm-reth-47
lighthouse-reth-32	prysm-reth-48
lighthouse-reth-33	prysm-reth-49
lighthouse-reth-34	prysm-reth-50
lighthouse-reth-35	prysm-reth-51
lighthouse-reth-36	prysm-reth-52
lighthouse-reth-37	prysm-reth-53
lighthouse-reth-38	prysm-reth-54
lighthouse-reth-39	prysm-reth-55
lighthouse-reth-4	prysm-reth-4
lighthouse-reth-40	prysm-reth-56
lighthouse-reth-41	prysm-reth-57
lighthouse-reth-42	prysm-reth-58
lighthouse-reth-43	prysm-reth-59
lighthouse-reth-44	prysm-reth-60
lighthouse-reth-45	prysm-reth-61
lighthouse-reth-46	prysm-reth-62
lighthouse-reth-47	prysm-reth-63
lighthouse-reth-48	prysm-reth-64
lighthouse-reth-49	prysm-reth-65
lighthouse-reth-5	prysm-reth-5
lighthouse-reth-50	prysm-reth-66
lighthouse-reth-51	prysm-reth-67
lighthouse-reth-52	prysm-reth-68
lighthouse-reth-53	prysm-reth-69
lighthouse-reth-54	prysm-reth-70
lighthouse-reth-55	prysm-reth-71
lighthouse-reth-56	prysm-reth-72
lighthouse-reth-57	prysm-reth-73
lighthouse-reth-58	prysm-reth-74
lighthouse-reth-59	prysm-reth-75
lighthouse-reth-6	prysm-reth-6
lighthouse-reth-60	prysm-reth-76
lighthouse-reth-7	prysm-reth-7
lighthouse-reth-8	prysm-reth-8
lighthouse-reth-9	prysm-reth-9
lodestar-besu-1	prysm-besu-79
lodestar-besu-2	prysm-besu-80
lodestar-erigon-1	prysm-erigon-40
lodestar-ethrex-1	prysm-ethrex-20
lodestar-geth-1	prysm-geth-79
lodestar-geth-10	prysm-geth-404
lodestar-geth-11	prysm-geth-405
lodestar-geth-12	prysm-geth-406
lodestar-geth-13	prysm-geth-407
lodestar-geth-2	prysm-geth-80
lodestar-geth-3	prysm-geth-81
lodestar-geth-4	prysm-geth-398
lodestar-geth-5	prysm-geth-399
lodestar-geth-6	prysm-geth-400
lodestar-geth-7	prysm-geth-401
lodestar-geth-8	prysm-geth-402
lodestar-geth-9	prysm-geth-403
lodestar-nethermind-1	prysm-nethermind-59
lodestar-nethermind-2	prysm-nethermind-60
lodestar-nethermind-3	prysm-nethermind-291
lodestar-nethermind-4	prysm-nethermind-292
lodestar-nethermind-5	prysm-nethermind-293
lodestar-nethermind-6	prysm-nethermind-294
lodestar-nethermind-7	prysm-nethermind-295
lodestar-nethermind-8	prysm-nethermind-296
lodestar-nethermind-9	prysm-nethermind-297
lodestar-reth-1	prysm-reth-28
lodestar-reth-2	prysm-reth-137
lodestar-reth-3	prysm-reth-138
lodestar-reth-4	prysm-reth-139
nimbus-besu-1	prysm-besu-15
nimbus-besu-2	prysm-besu-74
nimbus-besu-3	prysm-besu-75
nimbus-besu-4	prysm-besu-76
nimbus-besu-5	prysm-besu-77
nimbus-besu-6	prysm-besu-78
nimbus-erigon-1	prysm-erigon-7
nimbus-erigon-2	prysm-erigon-38
nimbus-erigon-3	prysm-erigon-39
nimbus-ethrex-1	prysm-ethrex-18
nimbus-ethrex-2	prysm-ethrex-19
nimbus-geth-1	prysm-geth-72
nimbus-geth-10	prysm-geth-374
nimbus-geth-11	prysm-geth-375
nimbus-geth-12	prysm-geth-376
nimbus-geth-13	prysm-geth-377
nimbus-geth-14	prysm-geth-378
nimbus-geth-15	prysm-geth-379
nimbus-geth-16	prysm-geth-380
nimbus-geth-17	prysm-geth-381
nimbus-geth-18	prysm-geth-382
nimbus-geth-19	prysm-geth-383
nimbus-geth-2	prysm-geth-73
nimbus-geth-20	prysm-geth-384
nimbus-geth-21	prysm-geth-385
nimbus-geth-22	prysm-geth-386
nimbus-geth-23	prysm-geth-387
nimbus-geth-24	prysm-geth-388
nimbus-geth-25	prysm-geth-389
nimbus-geth-26	prysm-geth-390
nimbus-geth-27	prysm-geth-391
nimbus-geth-28	prysm-geth-392
nimbus-geth-29	prysm-geth-393
nimbus-geth-3	prysm-geth-74
nimbus-geth-30	prysm-geth-394
nimbus-geth-31	prysm-geth-395
nimbus-geth-32	prysm-geth-396
nimbus-geth-33	prysm-geth-397
nimbus-geth-4	prysm-geth-75
nimbus-geth-5	prysm-geth-76
nimbus-geth-6	prysm-geth-77
nimbus-geth-7	prysm-geth-78
nimbus-geth-8	prysm-geth-372
nimbus-geth-9	prysm-geth-373
nimbus-nethermind-1	prysm-nethermind-54
nimbus-nethermind-10	prysm-nethermind-276
nimbus-nethermind-11	prysm-nethermind-277
nimbus-nethermind-12	prysm-nethermind-278
nimbus-nethermind-13	prysm-nethermind-279
nimbus-nethermind-14	prysm-nethermind-280
nimbus-nethermind-15	prysm-nethermind-281
nimbus-nethermind-16	prysm-nethermind-282
nimbus-nethermind-17	prysm-nethermind-283
nimbus-nethermind-18	prysm-nethermind-284
nimbus-nethermind-19	prysm-nethermind-285
nimbus-nethermind-2	prysm-nethermind-55
nimbus-nethermind-20	prysm-nethermind-286
nimbus-nethermind-21	prysm-nethermind-287
nimbus-nethermind-22	prysm-nethermind-288
nimbus-nethermind-23	prysm-nethermind-289
nimbus-nethermind-24	prysm-nethermind-290
nimbus-nethermind-3	prysm-nethermind-56
nimbus-nethermind-4	prysm-nethermind-57
nimbus-nethermind-5	prysm-nethermind-58
nimbus-nethermind-6	prysm-nethermind-272
nimbus-nethermind-7	prysm-nethermind-273
nimbus-nethermind-8	prysm-nethermind-274
nimbus-nethermind-9	prysm-nethermind-275
nimbus-nimbusel-1	prysm-nimbusel-10
nimbus-reth-1	prysm-reth-26
nimbus-reth-10	prysm-reth-135
nimbus-reth-11	prysm-reth-136
nimbus-reth-2	prysm-reth-27
nimbus-reth-3	prysm-reth-128
nimbus-reth-4	prysm-reth-129
nimbus-reth-5	prysm-reth-130
nimbus-reth-6	prysm-reth-131
nimbus-reth-7	prysm-reth-132
nimbus-reth-8	prysm-reth-133
nimbus-reth-9	prysm-reth-134
prysm-besu-1	prysm-besu-8
prysm-besu-10	prysm-besu-49
prysm-besu-11	prysm-besu-50
prysm-besu-12	prysm-besu-51
prysm-besu-13	prysm-besu-52
prysm-besu-14	prysm-besu-53
prysm-besu-15	prysm-besu-54
prysm-besu-16	prysm-besu-55
prysm-besu-17	prysm-besu-56
prysm-besu-18	prysm-besu-57
prysm-besu-19	prysm-besu-58
prysm-besu-2	prysm-besu-9
prysm-besu-20	prysm-besu-59
prysm-besu-21	prysm-besu-60
prysm-besu-22	prysm-besu-61
prysm-besu-23	prysm-besu-62
prysm-besu-24	prysm-besu-63
prysm-besu-25	prysm-besu-64
prysm-besu-3	prysm-besu-10
prysm-besu-4	prysm-besu-11
prysm-besu-5	prysm-besu-12
prysm-besu-6	prysm-besu-45
prysm-besu-7	prysm-besu-46
prysm-besu-8	prysm-besu-47
prysm-besu-9	prysm-besu-48
prysm-erigon-1	prysm-erigon-4
prysm-erigon-10	prysm-erigon-30
prysm-erigon-11	prysm-erigon-31
prysm-erigon-12	prysm-erigon-32
prysm-erigon-2	prysm-erigon-5
prysm-erigon-3	prysm-erigon-23
prysm-erigon-4	prysm-erigon-24
prysm-erigon-5	prysm-erigon-25
prysm-erigon-6	prysm-erigon-26
prysm-erigon-7	prysm-erigon-27
prysm-erigon-8	prysm-erigon-28
prysm-erigon-9	prysm-erigon-29
prysm-ethrex-1	prysm-ethrex-3
prysm-ethrex-2	prysm-ethrex-12
prysm-ethrex-3	prysm-ethrex-13
prysm-ethrex-4	prysm-ethrex-14
prysm-ethrex-5	prysm-ethrex-15
prysm-ethrex-6	prysm-ethrex-16
prysm-geth-1	prysm-geth-36
prysm-geth-10	prysm-geth-45
prysm-geth-100	prysm-geth-298
prysm-geth-101	prysm-geth-299
prysm-geth-102	prysm-geth-300
prysm-geth-103	prysm-geth-301
prysm-geth-104	prysm-geth-302
prysm-geth-105	prysm-geth-303
prysm-geth-106	prysm-geth-304
prysm-geth-107	prysm-geth-305
prysm-geth-108	prysm-geth-306
prysm-geth-109	prysm-geth-307
prysm-geth-11	prysm-geth-46
prysm-geth-110	prysm-geth-308
prysm-geth-111	prysm-geth-309
prysm-geth-112	prysm-geth-310
prysm-geth-113	prysm-geth-311
prysm-geth-114	prysm-geth-312
prysm-geth-115	prysm-geth-313
prysm-geth-116	prysm-geth-314
prysm-geth-117	prysm-geth-315
prysm-geth-118	prysm-geth-316
prysm-geth-119	prysm-geth-317
prysm-geth-12	prysm-geth-47
prysm-geth-120	prysm-geth-318
prysm-geth-121	prysm-geth-319
prysm-geth-122	prysm-geth-320
prysm-geth-123	prysm-geth-321
prysm-geth-124	prysm-geth-322
prysm-geth-125	prysm-geth-323
prysm-geth-126	prysm-geth-324
prysm-geth-127	prysm-geth-325
prysm-geth-13	prysm-geth-48
prysm-geth-14	prysm-geth-49
prysm-geth-15	prysm-geth-50
prysm-geth-16	prysm-geth-51
prysm-geth-17	prysm-geth-52
prysm-geth-18	prysm-geth-53
prysm-geth-19	prysm-geth-54
prysm-geth-2	prysm-geth-37
prysm-geth-20	prysm-geth-55
prysm-geth-21	prysm-geth-56
prysm-geth-22	prysm-geth-57
prysm-geth-23	prysm-geth-58
prysm-geth-24	prysm-geth-59
prysm-geth-25	prysm-geth-60
prysm-geth-26	prysm-geth-224
prysm-geth-27	prysm-geth-225
prysm-geth-28	prysm-geth-226
prysm-geth-29	prysm-geth-227
prysm-geth-3	prysm-geth-38
prysm-geth-30	prysm-geth-228
prysm-geth-31	prysm-geth-229
prysm-geth-32	prysm-geth-230
prysm-geth-33	prysm-geth-231
prysm-geth-34	prysm-geth-232
prysm-geth-35	prysm-geth-233
prysm-geth-36	prysm-geth-234
prysm-geth-37	prysm-geth-235
prysm-geth-38	prysm-geth-236
prysm-geth-39	prysm-geth-237
prysm-geth-4	prysm-geth-39
prysm-geth-40	prysm-geth-238
prysm-geth-41	prysm-geth-239
prysm-geth-42	prysm-geth-240
prysm-geth-43	prysm-geth-241
prysm-geth-44	prysm-geth-242
